epoch,score,loss
0,0.537847,0.000000
1,0.556257,0.000000
2,0.509140,0.000000
3,0.598190,0.000000
4,0.598005,0.000000
5,0.617333,0.000000
6,0.613132,0.000000
7,0.647513,0.000000
8,0.632189,0.000000
11,0.494904,0.000000
13,0.662290,0.000000
14,0.666077,0.000000

15,0.620204,0.000000
16,0.648347,0.000000
17,0.667250,0.000000
18,0.666835,0.000000
19,0.664164,0.000000
